10,0.5,32,0.021516071,0.044349714,0.043492286,0.031678357,0.038453071,0.036257571,Naive,Binary heap,Neo4j Fibonacci heap,Nutch Fibonacci heap,Teneighty Fibonacci heap,Keithschwarz Fibonacci heap
20,0.5,162,0.0795825,0.193938357,0.181517857,0.106159143,0.102834286,0.112076571,,,,,,
30,0.5,392,0.139886357,0.361676643,0.285314071,0.187999929,0.2024695,0.211356143,,,,,,
40,0.5,722,0.2425535,0.591328929,0.418279429,0.286756714,0.340118571,0.426517929,,,,,,
50,0.5,1152,0.415916714,0.8542275,0.582316786,0.391912071,0.3892985,0.438122786,,,,,,
60,0.5,1682,0.456230714,1.212286786,0.822862786,0.542399786,0.516576286,0.580079286,,,,,,
70,0.5,2312,0.682976429,1.574632571,1.008562714,0.669719571,0.640738643,0.736233571,,,,,,
80,0.5,3042,0.817719143,1.9550655,1.186818714,0.853683786,0.777112286,0.908885786,,,,,,
90,0.5,3872,1.000157143,2.436638714,1.457140429,0.963209571,0.917960643,1.037836429,,,,,,
100,0.5,4802,1.161894143,2.854081714,1.717969143,1.117879286,1.054857,1.199322714,,,,,,
110,0.5,5832,1.338665714,3.393679643,1.961296571,1.305209929,1.222741714,1.334358286,,,,,,
120,0.5,6962,1.600205214,3.975055571,2.292361143,1.455175071,1.425754929,1.554684857,,,,,,
130,0.5,8192,2.064904429,4.529604071,2.4862995,1.635584571,1.538876929,1.730891429,,,,,,
140,0.5,9522,2.264300143,5.097785643,2.780123786,1.813087929,1.761189714,1.880459286,,,,,,
150,0.5,10952,2.563310214,5.822539786,3.254692429,2.060262357,1.940804786,2.130456571,,,,,,
160,0.5,12482,2.915723714,6.574769643,3.48815,2.297818429,2.173467929,2.340098143,,,,,,
170,0.5,14112,3.194200357,7.515229071,3.827996857,2.459242071,2.302293357,2.514213857,,,,,,
180,0.5,15842,3.3584885,8.172779214,4.213510786,2.7488635,2.480674786,2.761932214,,,,,,
190,0.5,17672,3.723218071,8.984162643,4.483832429,2.927391286,2.725130857,2.908405286,,,,,,
200,0.5,19602,3.961589286,9.825969929,4.895274357,3.276396929,3.435875714,3.211387929,,,,,,
210,0.5,21632,4.400966929,10.88063879,5.3115465,3.474077786,3.168104786,3.443068429,,,,,,
